timestamp,action,duration_seconds,status,error_message
2026-01-16 17:02:44,OrderSheetPage.handle_keep_open_modal,0.0106,SUCCESS,
2026-01-16 17:02:44,OrderSheetPage.select_table,0.8946,SUCCESS,
2026-01-16 17:02:44,OrderSheetPage.handle_table_opening_if_needed,0.0036,SUCCESS,
2026-01-16 17:02:46,OrderSheetPage.is_order_sheet_opened,1.3586,SUCCESS,
2026-01-16 17:02:49,OrderSheetPage.add_item_to_table,5.2873,SUCCESS,
2026-01-16 17:02:51,OrderSheetPage.handle_keep_open_modal,0.0169,SUCCESS,
2026-01-16 17:02:51,OrderSheetPage.select_table,0.1031,SUCCESS,
2026-01-16 17:02:51,OrderSheetPage.handle_table_opening_if_needed,0.0071,SUCCESS,
2026-01-16 17:02:52,OrderSheetPage.is_order_sheet_opened,0.8643,SUCCESS,
2026-01-16 17:02:54,OrderSheetPage.add_item_to_table,2.7323,SUCCESS,
2026-01-16 17:02:56,OrderSheetPage.handle_keep_open_modal,0.0145,SUCCESS,
2026-01-16 17:02:56,OrderSheetPage.select_table,0.0964,SUCCESS,
2026-01-16 17:02:56,OrderSheetPage.handle_table_opening_if_needed,0.0059,SUCCESS,
2026-01-16 17:02:58,OrderSheetPage.is_order_sheet_opened,1.8888,SUCCESS,
2026-01-16 17:02:59,OrderSheetPage.add_item_to_table,3.7834,SUCCESS,
2026-01-16 17:03:01,OrderSheetPage.handle_keep_open_modal,0.0082,SUCCESS,
2026-01-16 17:03:01,OrderSheetPage.select_table,0.0729,SUCCESS,
2026-01-16 17:03:01,OrderSheetPage.handle_table_opening_if_needed,0.0028,SUCCESS,
2026-01-16 17:03:02,OrderSheetPage.is_order_sheet_opened,0.8621,SUCCESS,
2026-01-16 17:03:04,OrderSheetPage.add_item_to_table,2.7005,SUCCESS,
2026-01-16 17:03:06,OrderSheetPage.handle_keep_open_modal,0.0078,SUCCESS,
2026-01-16 17:03:06,OrderSheetPage.select_table,0.0918,SUCCESS,
2026-01-16 17:03:07,OrderSheetPage.handle_table_opening_if_needed,1.0658,SUCCESS,
2026-01-16 17:03:07,OrderSheetPage.is_order_sheet_opened,0.0062,SUCCESS,
2026-01-16 17:03:09,OrderSheetPage.add_item_to_table,2.8328,SUCCESS,
2026-01-16 17:03:11,OrderSheetPage.handle_keep_open_modal,0.0083,SUCCESS,
2026-01-16 17:03:11,OrderSheetPage.select_table,0.0739,SUCCESS,
